,healthgrades,vitals,ratemds,yelp,zocdoc
2004-01-01,,,468,4,
2005-01-01,,,2223,52,
2006-01-01,,,5985,270,
2007-01-01,,2.0,11206,1173,
2008-01-01,,23838.0,17988,2517,93.0
2009-01-01,,77928.0,24173,4404,373.0
2010-01-01,,126566.0,18641,5897,1627.0
2011-01-01,,168129.0,25194,8978,7028.0
2012-01-01,,160545.0,18347,10567,14874.0
2013-01-01,,144868.0,21771,13680,19999.0
2014-01-01,179.0,111823.0,27130,17576,32127.0
2015-01-01,14571.0,250330.0,24059,22017,45450.0
2016-01-01,356434.0,208305.0,17494,24192,47453.0
2017-01-01,359918.0,139204.0,24088,26077,43747.0
2018-01-01,346267.0,192149.0,19620,27947,44885.0
2019-01-01,420099.0,274454.0,15098,26870,45893.0
2020-01-01,365121.0,143295.0,10324,18018,39529.0
2021-01-01,258393.0,56862.0,7126,10161,42064.0
